medicamento_alvo,medicamento_outro,contexto,classe,fonte,origem,confianca
omize,carbamazepina,"O levomefolato de cálcio apresenta interação moderada, diminuindo a eficácia de algum dos ativos, quando utilizado com pirimetamina, fenobarbital, agentes anti- inflamatórios não esteroides, metotrexato, ácido valpróico, fenitoína, primidona e carbamazepina e ainda apresenta interação secundária quando utilizado com pancreatina, pancrelipase, levodopa, colchicina, triamterene, colestipol, sulfasalazina, trimetoprima , pentamidina, colestiramina, álcool e tabaco .",1,fonte1,manual,1.0
omize,metotrexato,"O levomefolato de cálcio apresenta interação moderada, diminuindo a eficácia de algum dos ativos, quando utilizado com pirimetamina, fenobarbital, agentes anti- inflamatórios não esteroides, metotrexato, ácido valpróico, fenitoína, primidona e carbamazepina e ainda apresenta interação secundária quando utilizado com pancreatina, pancrelipase, levodopa, colchicina, triamterene, colestipol, sulfasalazina, trimetoprima , pentamidina, colestiramina, álcool e tabaco .",1,fonte1,manual,1.0
omize,fenobarbital,"O levomefolato de cálcio apresenta interação moderada, diminuindo a eficácia de algum dos ativos, quando utilizado com pirimetamina, fenobarbital, agentes anti- inflamatórios não esteroides, metotrexato, ácido valpróico, fenitoína, primidona e carbamazepina e ainda apresenta interação secundária quando utilizado com pancreatina, pancrelipase, levodopa, colchicina, triamterene, colestipol, sulfasalazina, trimetoprima , pentamidina, colestiramina, álcool e tabaco .",1,fonte1,manual,1.0
omize,colchicina,"O levomefolato de cálcio apresenta interação moderada, diminuindo a eficácia de algum dos ativos, quando utilizado com pirimetamina, fenobarbital, agentes anti- inflamatórios não esteroides, metotrexato, ácido valpróico, fenitoína, primidona e carbamazepina e ainda apresenta interação secundária quando utilizado com pancreatina, pancrelipase, levodopa, colchicina, triamterene, colestipol, sulfasalazina, trimetoprima , pentamidina, colestiramina, álcool e tabaco .",1,fonte1,manual,1.0
omize,colestipol,"O levomefolato de cálcio apresenta interação moderada, diminuindo a eficácia de algum dos ativos, quando utilizado com pirimetamina, fenobarbital, agentes anti- inflamatórios não esteroides, metotrexato, ácido valpróico, fenitoína, primidona e carbamazepina e ainda apresenta interação secundária quando utilizado com pancreatina, pancrelipase, levodopa, colchicina, triamterene, colestipol, sulfasalazina, trimetoprima , pentamidina, colestiramina, álcool e tabaco .",1,fonte1,manual,1.0
acebrofilina,alopurinol,"O uso concomitante de acebrofilina com antibióticos macrolídeos (eritromicina), algumas quinolonas como norfloxacino e ciprofloxacino, antihistamínicos H2 (cimetidina, ranitidina, famotidina), alopurinol, diltiazem e ipriflavona, pode retardar a eliminação da teofilina, aumentando o risco de intoxicação pela mesma.",1,fonte1,manual,1.0
acebrofilina,eritromicina,"O uso concomitante de acebrofilina com antibióticos macrolídeos (eritromicina), algumas quinolonas como norfloxacino e ciprofloxacino, antihistamínicos H2 (cimetidina, ranitidina, famotidina), alopurinol, diltiazem e ipriflavona, pode retardar a eliminação da teofilina, aumentando o risco de intoxicação pela mesma.",1,fonte1,manual,1.0
acebrofilina,diltiazem,"O uso concomitante de acebrofilina com antibióticos macrolídeos (eritromicina), algumas quinolonas como norfloxacino e ciprofloxacino, antihistamínicos H2 (cimetidina, ranitidina, famotidina), alopurinol, diltiazem e ipriflavona, pode retardar a eliminação da teofilina, aumentando o risco de intoxicação pela mesma.",1,fonte1,manual,1.0
acebrofilina,cimetidina,"O uso concomitante de acebrofilina com antibióticos macrolídeos (eritromicina), algumas quinolonas como norfloxacino e ciprofloxacino, antihistamínicos H2 (cimetidina, ranitidina, famotidina), alopurinol, diltiazem e ipriflavona, pode retardar a eliminação da teofilina, aumentando o risco de intoxicação pela mesma.",1,fonte1,manual,1.0
acebrofilina,ranitidina,"O uso concomitante de acebrofilina com antibióticos macrolídeos (eritromicina), algumas quinolonas como norfloxacino e ciprofloxacino, antihistamínicos H2 (cimetidina, ranitidina, famotidina), alopurinol, diltiazem e ipriflavona, pode retardar a eliminação da teofilina, aumentando o risco de intoxicação pela mesma.",1,fonte1,manual,1.0
losartana potassica,varfarina,"INTE RAÇÕES MED ICAMENTO SAS Nos est udos clínicos de farmacocinética realiza dos com hidroclorotiazida, digoxina, varfarina, cimetidina, fe nobarbital, cetoconazol e eritromicina, não foram identificadas interações me dicamentosas de importância clínica.",0,fonte1,manual,1.0
losartana potassica,eritromicina,"INTE RAÇÕES MED ICAMENTO SAS Nos est udos clínicos de farmacocinética realiza dos com hidroclorotiazida, digoxina, varfarina, cimetidina, fe nobarbital, cetoconazol e eritromicina, não foram identificadas interações me dicamentosas de importância clínica.",0,fonte1,manual,1.0
losartana potassica,digoxina,"INTE RAÇÕES MED ICAMENTO SAS Nos est udos clínicos de farmacocinética realiza dos com hidroclorotiazida, digoxina, varfarina, cimetidina, fe nobarbital, cetoconazol e eritromicina, não foram identificadas interações me dicamentosas de importância clínica.",0,fonte1,manual,1.0
losartana potassica,cetoconazol,"INTE RAÇÕES MED ICAMENTO SAS Nos est udos clínicos de farmacocinética realiza dos com hidroclorotiazida, digoxina, varfarina, cimetidina, fe nobarbital, cetoconazol e eritromicina, não foram identificadas interações me dicamentosas de importância clínica.",0,fonte1,manual,1.0
losartana potassica,hidroclorotiazida,"INTE RAÇÕES MED ICAMENTO SAS Nos est udos clínicos de farmacocinética realiza dos com hidroclorotiazida, digoxina, varfarina, cimetidina, fe nobarbital, cetoconazol e eritromicina, não foram identificadas interações me dicamentosas de importância clínica.",0,fonte1,manual,1.0
enantato de noretisterona valerato de estradiol,eritromicina,"Essas alterações podem ser clinicamente relevantes em alguns casos. - Substâncias que reduzem a depuração dos CICs (inibidores enzimáticos) Inibidores potentes e moderados da CYP3A4, tais como antifúngicos azólicos (por exemplo, fluconazol, itraconazol, cetoconazol e voriconazol), verapamil, macrolídeos (por exemplo, claritromicina, eritromicina), diltiazem e suco de toranja ( grapefruit ) podem aumentar as concentrações plasmáticas de estrogênios ou de progestágenos ou de ambos. - Efeitos dos CICs sobre outros medicamentos Os contraceptivos hormonais podem interferir no metabolismo de outros fármacos.",1,fonte1,manual,1.0
enantato de noretisterona valerato de estradiol,claritromicina,"Essas alterações podem ser clinicamente relevantes em alguns casos. - Substâncias que reduzem a depuração dos CICs (inibidores enzimáticos) Inibidores potentes e moderados da CYP3A4, tais como antifúngicos azólicos (por exemplo, fluconazol, itraconazol, cetoconazol e voriconazol), verapamil, macrolídeos (por exemplo, claritromicina, eritromicina), diltiazem e suco de toranja ( grapefruit ) podem aumentar as concentrações plasmáticas de estrogênios ou de progestágenos ou de ambos. - Efeitos dos CICs sobre outros medicamentos Os contraceptivos hormonais podem interferir no metabolismo de outros fármacos.",1,fonte1,manual,1.0
enantato de noretisterona valerato de estradiol,cetoconazol,"Essas alterações podem ser clinicamente relevantes em alguns casos. - Substâncias que reduzem a depuração dos CICs (inibidores enzimáticos) Inibidores potentes e moderados da CYP3A4, tais como antifúngicos azólicos (por exemplo, fluconazol, itraconazol, cetoconazol e voriconazol), verapamil, macrolídeos (por exemplo, claritromicina, eritromicina), diltiazem e suco de toranja ( grapefruit ) podem aumentar as concentrações plasmáticas de estrogênios ou de progestágenos ou de ambos. - Efeitos dos CICs sobre outros medicamentos Os contraceptivos hormonais podem interferir no metabolismo de outros fármacos.",1,fonte1,manual,1.0
enantato de noretisterona valerato de estradiol,fluconazol,"Essas alterações podem ser clinicamente relevantes em alguns casos. - Substâncias que reduzem a depuração dos CICs (inibidores enzimáticos) Inibidores potentes e moderados da CYP3A4, tais como antifúngicos azólicos (por exemplo, fluconazol, itraconazol, cetoconazol e voriconazol), verapamil, macrolídeos (por exemplo, claritromicina, eritromicina), diltiazem e suco de toranja ( grapefruit ) podem aumentar as concentrações plasmáticas de estrogênios ou de progestágenos ou de ambos. - Efeitos dos CICs sobre outros medicamentos Os contraceptivos hormonais podem interferir no metabolismo de outros fármacos.",1,fonte1,manual,1.0
enantato de noretisterona valerato de estradiol,itraconazol,"Essas alterações podem ser clinicamente relevantes em alguns casos. - Substâncias que reduzem a depuração dos CICs (inibidores enzimáticos) Inibidores potentes e moderados da CYP3A4, tais como antifúngicos azólicos (por exemplo, fluconazol, itraconazol, cetoconazol e voriconazol), verapamil, macrolídeos (por exemplo, claritromicina, eritromicina), diltiazem e suco de toranja ( grapefruit ) podem aumentar as concentrações plasmáticas de estrogênios ou de progestágenos ou de ambos. - Efeitos dos CICs sobre outros medicamentos Os contraceptivos hormonais podem interferir no metabolismo de outros fármacos.",1,fonte1,manual,1.0
losartana potassica hidroclorotiazida,varfarina,"INTERAÇÕES MEDICAMENTOSAS losartana Não foram identificadas interações medicamentosas de significado clínico com os seguintes c ompostos avaliados nos estudos de farmacocinética clínica: hidroclorotiazida, digoxina, varfarina, cimetidina, fenobarbital (vide Hidroclorotiazida, Álcool, Barbituratos ou Narcóticos , a seguir), cetoconazol e eritromicina.",0,fonte1,manual,1.0
losartana potassica hidroclorotiazida,eritromicina,"INTERAÇÕES MEDICAMENTOSAS losartana Não foram identificadas interações medicamentosas de significado clínico com os seguintes c ompostos avaliados nos estudos de farmacocinética clínica: hidroclorotiazida, digoxina, varfarina, cimetidina, fenobarbital (vide Hidroclorotiazida, Álcool, Barbituratos ou Narcóticos , a seguir), cetoconazol e eritromicina.",0,fonte1,manual,1.0
losartana potassica hidroclorotiazida,losartana,"INTERAÇÕES MEDICAMENTOSAS losartana Não foram identificadas interações medicamentosas de significado clínico com os seguintes c ompostos avaliados nos estudos de farmacocinética clínica: hidroclorotiazida, digoxina, varfarina, cimetidina, fenobarbital (vide Hidroclorotiazida, Álcool, Barbituratos ou Narcóticos , a seguir), cetoconazol e eritromicina.",0,fonte1,manual,1.0
losartana potassica hidroclorotiazida,digoxina,"INTERAÇÕES MEDICAMENTOSAS losartana Não foram identificadas interações medicamentosas de significado clínico com os seguintes c ompostos avaliados nos estudos de farmacocinética clínica: hidroclorotiazida, digoxina, varfarina, cimetidina, fenobarbital (vide Hidroclorotiazida, Álcool, Barbituratos ou Narcóticos , a seguir), cetoconazol e eritromicina.",0,fonte1,manual,1.0
losartana potassica hidroclorotiazida,cetoconazol,"INTERAÇÕES MEDICAMENTOSAS losartana Não foram identificadas interações medicamentosas de significado clínico com os seguintes c ompostos avaliados nos estudos de farmacocinética clínica: hidroclorotiazida, digoxina, varfarina, cimetidina, fenobarbital (vide Hidroclorotiazida, Álcool, Barbituratos ou Narcóticos , a seguir), cetoconazol e eritromicina.",0,fonte1,manual,1.0
