medicamento_alvo,medicamento_outro,contexto,classe,fonte,origem,confianca
aas protect,metotrexato,É contraindicado o uso concomitante com metotrexato em doses de 15mg/semana ou mais e combinações com metotrexato em doses inferiores a 15mg/semana requerem precauções para o uso;,2,fonte2,automatica,0.9
accolate,contraceptivos,Accolate pode ser administrado com contraceptivos orais sem interações adversas.,0,fonte2,automatica,0.85
accolate,varfarina,"Assim sendo, recomenda-se a monitoração cuidadosa do tempo de protrombina quando Accolate é coadministrado com varfarina.",1,fonte2,automatica,0.65
accuvit,colestipol,"O uso de ácido ascórbico concomitante com derivados da cumarina pode aumentar o risco de sangramentos, principalmente em pacientes que ingerem 300 UI/dia ou mais. , colestipol e podem interferir na absorção de vitamina E A vitamina E reduz a absorção de vitamina K.",1,fonte2,automatica,0.65
aceclofenaco comprimido ems,digoxina,"Ingestão concomitante com outras substâncias Recomenda-se informar ao médico caso haja uso concomitante de medicamentos que contenham lítio, digoxina, anticoagulantes, antidiabéticos orais, diuréticos e outros analgésicos.",1,fonte2,automatica,0.65
aceclofenaco comprimido ems,anticoagulantes,"Ingestão concomitante com outras substâncias Recomenda-se informar ao médico caso haja uso concomitante de medicamentos que contenham lítio, digoxina, anticoagulantes, antidiabéticos orais, diuréticos e outros analgésicos.",1,fonte2,automatica,0.65
alcachofra herbarium,varfarina,"Pode reduzir a eficácia de medicamentos que interferem na coagulação sanguínea, como ácido acetilsalicílico e cumarínicos (ex. varfarina).",1,fonte2,automatica,0.65
alimta,aines,Recomenda-se que estes pacientes não utilizem AINES a partir de 2 dias antes da dose de Alimta e até 2 dias após.,1,fonte2,automatica,0.65
aracytin,digoxina,"Portanto, recomenda-se o monitoramento dos níveis plasmáticos de digoxina em pacientes recebendo esquemas quimioterápicos combinados similares.",1,fonte2,automatica,0.65
aracytin,metotrexato,"Citarabina administrada via intravenosa concomitantemente com metotrexato via intratecal pode aumentar o risco de reações adversas neurológicas graves como dor de cabeça, paralisia, coma e episódios semelhantes a AVC.",1,fonte2,automatica,0.65
arflex retard,fluoxetina,"A associação de nimesulida com medicamentos como: , ardeparina, acebutalol, certoparina, citalopram, clopidogrel, clovoxamina, dalteparina, danaparoide, desirudina, duloxetina, enoxaparina, eptifabatida, escitalopram, femoxetina, flesinoxan,fluoxetina, ginko biloba, heparina, levomilnacipram, milnacipram, nadroprarina, nefazodona, parnaparina, paroxetina, pentosano polissulfato de sódio, , prasugrel, proteína C, reviparina, , ticlopidina, tinzaparina, venlafaxina, vilazodona, , zimeldina potencializa o risco de sangramento.",1,fonte2,automatica,0.65
atacand hct,hidroclorotiazida,Não há interação clinicamente significativa entre a hidroclorotiazida e alimentos.,0,fonte2,automatica,0.85
atropion,cetoconazol,"A atropina pode diminuir a absorção do ; recomenda-se administrar atropina somente após 2 horas, em pacientes que fazem o uso de cetoconazol.",1,fonte2,automatica,0.65
bacteracin f,metotrexato,"Interferência em exames de laboratório , especialmente o componente TMP, pode interferir na dosagem do metotrexato sérico, dependendo da técnica utilizada para medição do fármaco.",1,fonte2,automatica,0.65
bactrim,metotrexato,"Devido aos efeitos poupadores de potássio de TMP -SMZ, cuidado deve ser tomado quando TMP -SMZ é administrado com outros agentes que aumentam o potássio sérico, tais como inibidores da enzima conversora da angiotensina e bloqueadores dos receptores da angiotensina, diuréticos poupadores de potássio e Interferência em exames de laboratório , especialmente o componente TMP, pode interferir na dosagem do metotrexato sérico, dependendo da técnica utilizada para medição do fármaco.",1,fonte2,automatica,0.65
