medicamento_alvo,medicamento_outro,contexto,classe,fonte,origem,confianca
dicloridrato de hidroxizina,cetoconazol,"Exemplos de medicamentos associad os ao prolongamento do intervalo QT e/ou Torsades de Pointes estão listados abaixo (mas não se limitam a apenas estes): - Antiarrítmicos classe IA (quinidina, procainamida, disopiramida); - Antiarrítmicos classe III (amiodarona, sotalol, bretílio); - Antiarrítmicos classe IC (flecainida, propafenona); - Antipsicóticos (clorpromazina, haloperidol, pimozida, droperidol, ziprasidona, risperidona, olanzapina); - Antidepressivos (fluoxetina, citalopram, venlafaxina, antidepressivos tricíclicos e tetracíclicos por exemplo amitriptilina, imipramina, maprotilina); - Opioides (metadona); - Antibióticos macrolídeos e análogos (eritromicina, claritromicina, azitromicina, tacrolim o); - Quinolonas (moxifloxacino, ciprofloxacino, levofloxacino); - pentamidina; - Antimaláricos (quinina, cloroquina); - Antifúngicos azólicos (cetoconazol, fluconazol, voriconazol); - domperidona; - Antagonistas dos receptores 5-HT 3 (ondansetrona); - trióxido de arsênio; - Inibidores da tirosin a quinase (vandetanibe, sunitinibe, nilotinibe); - vorinostat e (inibidor da histona deacetilase); - Agonista do receptor adrenérgico beta-2 (salmeterol, formoterol).",2,fonte1,manual,1.0
ciclosporina,eritromicina,"Interações que aumentam os níveis de ciclosporina Antibióticos macrolídeos (por exemplo, eritromicina – vide “Advertências e Precauções – precauções adicionais em dermatite atópica” - azitromicina e claritromicina), cetoconazol, fluconazol, itraconazol, voriconazol; diltiazem, nicardipin a, verapamil; metoclopramida; anticoncepcionais orais; danazol; metilprednisolona (doses elevadas), alopurinol, amiodarona, ácido cólico e derivados; inibidores de protease, imatinibe; colchicina; nefazodona.",1,fonte1,manual,1.0
sinvastatina,claritromicina,"ADVERTÊNCIAS E PRECAUÇÕES, Gravidez e Lactação); • Administração concomitante de inibidores potentes do CYP3A4 (por exemplo, itraconazol, cetoconazol, posaconazol, voriconazol, inibidores da protease do HIV, boceprevir, telaprevir, eritromicina, claritromicina, telitromicina, nefazodona e medicamentos contendo cobicistate) (veja item 5.",2,fonte1,manual,1.0
cloridrato de donepezila,sertralina,"O metabolis mo do cloridrato de done pezila não é alterado pela administração concomitante de digoxina, cimetidina, tioridazina, risperidona e sertralina.",0,fonte1,manual,1.0
hidrotheo,ranitidina,"Hidróxido de Alumínio não deve ser administrado concomitantemente aos antibióticos que contêm tetraciclina (ou qualquer um dos seus sais), e de drogas como: Antagonistas H2, benzodiazepínicos, fenotiazinas, diflunisal, digoxina, , fluorquinolonas, propanolol, penicilaminas, neurolépticos fenotiazínicos, metoprolol, , ranitidina, sais de lítio, sais de , cefdinir, cefpodoxima, cloroquina, ciclinas, bifosfonato, etambutol, fluoreto de sódio, glicocorticóides, , isoniazida, , levotiroxina, lincosamidas, rosuvastatina ou ácido acetilsalicílico, pois pode haver diminuição da absorção destes medicamentos.",2,fonte2,automatica,0.8
cloridrato de donepezila cloridrato de memantina,risperidona,"O cloridrato de donepezila e seus metabólitos não inibem o metabolismo da teofilina, varfarina, cimetidina, digoxina, tioridazina, risperidona e sertralina em humanos.",0,fonte1,manual,1.0
cloridrato de donepezila cloridrato de memantina,cimetidina,"Existe um relato de caso clínico publicado sobre um possível risco da combinação da memantina com a fenitoína. • Outras substâncias ativas como cimetidina, ranitidina, procaínamida, quinidina, quinina e nicotina, que utilizam o mesmo sistema de transporte renal de cátions que a amantadina, também poderão interagir com a memantina levando a um risco potencial de aumento dos seus níveis séricos. • É possível que haja uma redução dos níveis séricos da hidroclorotiazida (HCT) quando esta, ou qualquer combinação contendo hidroclorotiazida, é administrada concomitantemente com a memantina. • Na experiência pós -comercialização foram notificados casos isolados de aumento da relação normalizada internacional (RNI) em pacientes tratados concomitantemente com varfarina.",1,fonte1,manual,1.0
klaricid ud,claritromicina,Foram recebidos relatos de rabdomiólise em pacientes que administraram claritromicina junto com estas estatinas.,2,fonte2,automatica,0.8
bromidrato de citalopram,digoxina,"O citalopram e desmetilcitalopram são insignificantes inibidores da CYP2C9, CYP2E1 e CYP3A4, e inibidores fracos da CYP1A2, CYP2C19 e CYP2D6 quando em comparação com outros ISRS estabelecidos como inibidores significantes . levomepromazina, digoxina, carbamazepina Nenhuma mudança ou apenas mudanças muito pequenas de pouca importância clínica foram observad as quando o citalopram foi dado com substratos CYP1A2 (clozapina e teofilina), CYP2C9 (varfarina), CYP2C19 (imipramina e mefenitoína ), CYP2D6 (esparteína, imipramina, amitriptilina, a risperidona) e CYP3A4 (varfarina, carbamazepina e seu metabólito carbamazepina epóxido ) e triazolam.",0,fonte1,manual,1.0
dicloridrato de levocetirizina,cetoconazol,"INTERAÇÕES MEDICAMENTOSAS Não foram realizados estudos de interação com a levocetirizina (incluindo estudos com indutores da CYP 3A4); estudos realizados com o composto racêmico cetirizina demonstraram que não havia interações clinicamente relevantes com antipirina, pseudoefedrina, cimetidina, cetoconazol, eritromicina, azitromicina, glipizid a e diazepam.",0,fonte1,manual,1.0
