medicamento,secao,texto,classe_sugerida,confianca_heuristica,medicamentos_detectados,score_prioridade,classe_manual
candesartana cilexetila hidroclorotiazida,INTERAÇÕES MEDICAMENTOSAS,"As substâncias que foram investigadas com candesartana cilexetila em estudos de farmacocinética clínica incluem: hidroclorotiazida, varfarina, digoxina, contraceptivos orais (etinilestradiol/levonorgestrel ), glibenclamida e nifedipino.",-1,-1.0,varfarina; digoxina; glibenclamida; hidroclorotiazida; nifedipino,15.0,
omize,INTERAÇÕES MEDICAMENTOSAS,"O levomefolato de cálcio apresenta interação moderada, diminuindo a eficácia de algum dos ativos, quando utilizado com pirimetamina, fenobarbital, agentes anti- inflamatórios não esteroides, metotrexato, ácido valpróico, fenitoína, primidona e carbamazepina e ainda apresenta interação secundária quando utilizado com pancreatina, pancrelipase, levodopa, colchicina, triamterene, colestipol, sulfasalazina, trimetoprima , pentamidina, colestiramina, álcool e tabaco .",-1,-1.0,carbamazepina; metotrexato; fenobarbital; colchicina; colestipol,15.0,1
simeco plus,INTERAÇÕES MEDICAMENTOSAS,"Citam -se: alopurinol, atazanavir, bisacodil, bisfosfonatos, inibidores da enzima de conversão de angiotensina (com exceção de enalapril e ramipril), alfa agonistas, beta agonistas, bosutinibe, cefditoreno , cef podoxima, cefuroxima, cloroquina, corticoides orais, dasatinibe, dabrafenibe, deferazirox, deferiprona, delavirdina, dolutegravir, eltrombopag, elvotegravir, erlotinibe, etambutol, etexilato de dabigratana, fenotiazinas, fexofenadina, gabapentina, gefitini be, hidantoína, hiosciamina, hormônios tireoidianos, sais de ferro, inibidores HMG Coa redutase, inibidores da protease, isoniazida, itraconazol, cetoconazol, mesalamina, metenamina, micofenolato, nilotinibe penicilamida, quinidinas, quinolonas, ranelato de estrôncio, raltegravir, rifampicina, ponatinibe, rilpivirina, riociquat, suplementos de fostato, sulpiridas, tetraciclinas, trientina, ticlopidina, quenodiol, vismodegib.",-1,-1.0,alopurinol; cetoconazol; itraconazol; rifampicina; isoniazida,15.0,
acebrofilina,INTERAÇÕES MEDICAMENTOSAS,"O uso concomitante de acebrofilina com antibióticos macrolídeos (eritromicina), algumas quinolonas como norfloxacino e ciprofloxacino, antihistamínicos H2 (cimetidina, ranitidina, famotidina), alopurinol, diltiazem e ipriflavona, pode retardar a eliminação da teofilina, aumentando o risco de intoxicação pela mesma.",-1,-1.0,alopurinol; eritromicina; diltiazem; cimetidina; ranitidina,15.0,1
losartana potássica,ADVERT ÊNCIAS E PRECAUÇÕES,"INTE RAÇÕES MED ICAMENTO SAS Nos est udos clínicos de farmacocinética realiza dos com hidroclorotiazida, digoxina, varfarina, cimetidina, fe nobarbital, cetoconazol e eritromicina, não foram identificadas interações me dicamentosas de importância clínica.",-1,-1.0,varfarina; eritromicina; digoxina; cetoconazol; hidroclorotiazida,15.0,0
enantato de noretisterona valerato de estradiol,INTERAÇÕES MEDICAMENTOSAS,"Essas alterações podem ser clinicamente relevantes em alguns casos. - Substâncias que reduzem a depuração dos CICs (inibidores enzimáticos) Inibidores potentes e moderados da CYP3A4, tais como antifúngicos azólicos (por exemplo, fluconazol, itraconazol, cetoconazol e voriconazol), verapamil, macrolídeos (por exemplo, claritromicina, eritromicina), diltiazem e suco de toranja ( grapefruit ) podem aumentar as concentrações plasmáticas de estrogênios ou de progestágenos ou de ambos. - Efeitos dos CICs sobre outros medicamentos Os contraceptivos hormonais podem interferir no metabolismo de outros fármacos.",-1,-1.0,eritromicina; claritromicina; cetoconazol; fluconazol; itraconazol,15.0,1
losartana potássica hidroclorotiazida,INTERAÇÕES MEDICAMENTOSAS,"INTERAÇÕES MEDICAMENTOSAS losartana Não foram identificadas interações medicamentosas de significado clínico com os seguintes c ompostos avaliados nos estudos de farmacocinética clínica: hidroclorotiazida, digoxina, varfarina, cimetidina, fenobarbital (vide Hidroclorotiazida, Álcool, Barbituratos ou Narcóticos , a seguir), cetoconazol e eritromicina.",-1,-1.0,varfarina; eritromicina; losartana; digoxina; cetoconazol,15.0,0
dienogeste,INTERAÇÕES MEDICAMENTOSAS,"Inibidores potentes e moderados do CYP3A4, tais como antifúngicos azólicos (por exemplo, itraconazol, voriconazol, fluconazol), verapamil, macrolídeos (por exemplo, claritromicina, eritromicina), diltiazem e suco de toranja ( grapefruit ) podem aumentar as concentrações plasmáticas desta progestina.",-1,-1.0,eritromicina; claritromicina; fluconazol; itraconazol; diltiazem,15.0,1
lamotrigina,INTERAÇÕES MEDICAMENTOSAS,"Tabela 1: Efeito de drogas na concentração da lamotrigina (ver Posologia e Modo de Usar): Drogas que aumentam a concentração da lamotrigina Drogas que reduzem a concentração da lamotrigina Drogas que têm pouco ou nenhum efeito na concentração da lamo trigina Valproato carbamazepina lítio fenitoína bupropiona primidona olanzapina fenobarbitona oxcarbazepina rifampicina felbamato lopinavir/ritonavir gabapentina atazanavir/ritonavir* levetiracetam Associação de etinilestradiol/levonorgestrel** pregabalina topiramato zonisamida aripiprazol lacosamida perampanel paracetamol *Para orientações de dosagem, ver Posologia e Modo de Usar – Recomendações gerais para populações de pacientes especiais, adicionalmente para mulheres tomando contraceptivos orais ver também Advertências e Precauções – Contraceptivos hormonais.",-1,-1.0,paracetamol; carbamazepina; rifampicina; gabapentina; olanzapina,15.0,1
cloridrato de moxifloxacino,INTERAÇÕES  MEDICAMENTOSAS,"INTERAÇÕES MEDICAMENTOSAS Para as seguintes substâncias foi comprovada a ausência de interação clinicamente relevante com cloridrato de moxifloxacino: atenolol, ranitidina, suplementos de cálcio, teofilina, ciclosporina, contraceptivos orais, glibenclamida, itraconazol, digoxina, m orfina, probenecida.",-1,-1.0,probenecida; ciclosporina; digoxina; itraconazol; glibenclamida,15.0,0
cloridrato de moxifloxacino,INTERAÇÕES MEDICAMENTOSAS,"INTERAÇÕES MEDICAMENTOSAS Para as seguintes substâncias foi comprovada a ausência de interação clinicamente relevante com cloridrato de moxifloxac ino: atenolol, ranitidina, suplementos de cálcio, teofilina, ciclosporina, contraceptivos orais, glibenclamida, itraconazol, digoxina, morfina, probenecida.",-1,-1.0,probenecida; ciclosporina; digoxina; itraconazol; glibenclamida,15.0,0
cabazitaxel,INTERAÇÕES MEDICAMENTOSAS,"INTERAÇÕES MEDICAMENTOSAS Medic amento -medicamento O metabolismo de cabazitaxel é modificado pela administração concomita nte de substâncias conhecidas como fortes inibidores (ex: cetoconazol, itraconazol, claritromicina, atazanavir, indinavir, nefazodona, nelfinavir, ritonavir, saquinavi r, telitromicina, voriconazol) ou fortes indutores (ex: rifampicina , carbamazepina ou fen itoína) da enzima CYP3A.",-1,-1.0,claritromicina; carbamazepina; cetoconazol; itraconazol; rifampicina,15.0,1
cabazitaxel,INTERAÇÕES MEDICAMENTOSAS,"INTERAÇÕES MEDICAMENTOSAS Medicamento -medicamento O metabolismo de cabazitaxel é modificado pela administração concomitante de substâncias conhecidas como fortes inibidores (ex: cetoconazol, itraconazol, claritromicina, atazanavir, indinavir, nefazodona, nelfinavir, ritonavir, saquinavir, telitromicina, voriconazol) ou fortes indutores (ex: rifampicina, carbamazepina ou fenitoína) da CYP3A.",-1,-1.0,claritromicina; carbamazepina; cetoconazol; itraconazol; rifampicina,15.0,1
cloridrato de hidroxizina,INTERAÇÕES MEDICAMENTOSAS,"Exemplos de drogas associadas ao prolongamento do intervalo QT e/ou Torsades de Pointes estão listados abaixo (mas não se limitam a apenas essas): - Antiarrítmicos classe IA (quinidina, procainamida, disopiramida); - Antiarrítmicos classe III (amiodarona, sotalol, bretílio); - Antiarrítmicos classe IC (flecainida, propafenona); - Antipsicóticos (clorpromazina, haloperidol, pimozida, droperidol, ziprasidona, risperidona, olanzapina); - Antidepressivos (fluoxetina, citalopram, venlafaxina, antidepressivos tricíclicos e tetracíclicos, por exemplo, amtriptilina, imipramina, maprotilina); dicloridrato_hidroxizina_sol_oral_VPS_V02 - Opioides (metadona); - Antibióticos macrolídeos e análogos (eritromicina, claritromicina, azitromicina, tacrolimus); - Quinolonas (moxifloxacino, ciprofloxacino, levofloxacino); - Pentamidina; - Antimaláricos (quinina, cloroquina); - Antifúngicos azólicos (cetoconazol, fluconazol, voriconazol); - Domperidona; - Antagonistas dos receptores 5-HT 3 (ondansetrona); - Trióxido de arsênio; - Inibidores da tirosinoquinase (vandetanibe, sunitinibe, nilotinibe); - Vorinostat (inibidor da histona deacetilase); - Agonista do receptor adrenérgico beta-2 (salmeterol, formoterol).",-1,-1.0,eritromicina; claritromicina; fluoxetina; cetoconazol; fluconazol,15.0,2
desogestrel,INTERAÇÕES MEDICAMENTOSAS,"A administração concomitante de inibidores fortes (por exemplo, cetoconazol, itraconazol, claritromicina) ou moderados (por exemplo, fluconazol, diltiazem, eritromicina) da CYP3A4 podem aumentar as concentrações séricas dos progestagênios, incluindo o eton ogestrel, o metabólito ativo do desogestrel.",-1,-1.0,eritromicina; claritromicina; cetoconazol; fluconazol; itraconazol,15.0,1
estradiol drospirenona,INTERAÇÕES MEDICAMENTOSAS,"Estas alteraçõe s podem ser clinicamente relevantes em alguns casos. -Substâncias que diminuem a depuração de hormônios sexuais (inibidores enzimáticos) Inibidores fortes e moderados do CYP3A4, tais como antifúngicos azólicos (por exemplo, fluconazol, itraconazol, cetoconazol, voriconazol,), macrolídeos (por exemplo, claritromicina, eritromicina), verapamil, diltiazem e suco de toranja (grapefruit ) podem aumentar as concentrações plasmáticas do progestógeno ou do estrogênio ou de ambos.",-1,-1.0,eritromicina; claritromicina; cetoconazol; fluconazol; itraconazol,15.0,1
drospirenona etinilestradiol,INTERAÇÕES MEDICAMENTOSAS,"Substâncias que diminuem a depuração dos COCs (inibidores enzimáticos) Inibidores potentes e moderados do CYP 3A4 tais como antifúngicos azólicos (como por exemplo, itraconazol, voriconazol, fluconazol), verapamil, antibióticos macrolídeos (como por exemplo, claritromicina, eritromicina), diltiazem e suco de toronja ( grapefruit ) podem aumentar as concentrações plasmáticas do estrogênio ou progestógeno ou de ambos.",-1,-1.0,eritromicina; claritromicina; fluconazol; itraconazol; diltiazem,15.0,1
divalproato de sódio,INTERAÇÕES MEDICAMENTOSAS,"Medicamentos para os quais não foi detectada nenhuma int eração ou com interação sem relevância: antiácidos, cimetidina, ranitidina, clorpromazina, haloperidol, paracetamol, lítio, lorazepam, olanzapina, rufinamida.",-1,-1.0,paracetamol; haloperidol; olanzapina; cimetidina; ranitidina,15.0,0
claritromicina,INTERAÇÕES MEDICAMENTOSAS,"São ex emplos, mas não se resume a: anticoagulantes orais (ex. varfarina, rivaroxabana, apixabana), antipsicóticos atípicos (ex. quetiapina, lurasidona) alcaloides do ergot, alprazolam, astemizol, carbamazepina, cilostazol, cisaprida, metilprednisolona, omeprazol , pimozida, quinidina, sildenafila, sinvastatina, terfenadina, triazolam, sirolimo, tacrolimo, lovastatina, disopiramida, midazolam, ciclosporina, hidroxicloroquina, cloroquina, vimblastina, rifabutina, ticagrelor, ivabradina e ranolazina.",-1,-1.0,varfarina; ciclosporina; omeprazol; sinvastatina; carbamazepina,15.0,2
telmisartana hidroclorotiazida,INTERAÇÕES MEDICAMENTOSAS,"A coadministração de telmisartana não resultou em interações clinicamente significativas com a varfarina, a hidroclorotiazida, a glibenclamida, o ibuprofeno, o paracetam ol, a sinvastatina e o anlodipino.",-1,-1.0,varfarina; ibuprofeno; sinvastatina; glibenclamida; hidroclorotiazida,15.0,0
